Time,Escenario Norte,Escenario Sur,Escenario Montaña,Escenario Sorpresa,Escenario La Plaza,Escenario La Casita,Escenario Paraguay
14:15,SOFI MORA,AINDA,RENZO LEALI,,,ROSY GÓMEZ,WANDA JAEL
15:05,,,BEATS MODERNOS,,,LABIOS DE SAL,T&K
15:10,,KAPANGA,,,,,MALANDRO
15:20,BLAIR,,,,,,
15:50,,,GUSTAVO CORDERA,,,,
15:55,,,,,,BULLDOZER BLUES BAND,
16:00,,,,,LOURDES LOURDES,,
16:10,,,,,,,
16:25,,PAPPO X JUANSE,,,,,
16:30,GAUCHITO CLUB,,,,,,
16:50,,,,,,,
17:00,,,LOS PERICOS,,GLAUCO DI MAMBRO,,
17:10,,,,MARILINA BERTOLDI,,,
17:20,,,,,,,GAUCHOS OF P.
17:45,,,,,,CORDELIA’S BLUES,
17:50,BANDALOS CHINOS,EL PLAN DE LA MARIPOSA,,,,,
18:00,,,,,BRIGADO CREW,,
18:20,,,,,,,DEVENDRA BANHART
18:30,,,SILVESTRE Y LA NARANJA,,,,
18:40,,,,,,GRASSHOPPER’S,
19:10,Fito Páez ,,,,,,
19:30,,,,,DEER JADE,,DUM CHICA
19:35,,,,,,GISA LONDERO & TOYO,
19:40,,DIVIDIDOS,,,,,
20:20,,,MORAT,,,,
20:30,,,,,,CRYSTAL THOMAS & LG,MARKY RAMONE
20:55,AIRBAG,,,,,,
21:00,,,,,FRANKY WAH,,
21:30,,TRUENO,,,,,
21:35,,,,,,NINA PORTELA,DAVID ELLEFSON
22:20,,,LAS PASTILLAS DEL ABUELO,,,,
22:30,,,,,KÖLSCH,XIME MONZÓN,SIX SEX
22:40,,,,,,,
23:00,YSY A,,,,,,
23:10,,GUASONES,,,,,
23:35,,,,,,,SIX SEX
0:00,,,PECES RAROS,,MATIAS TANZMANN,,
0:20,CARAS EXTRAÑAS,,,,,,
0:50,,LOUTA,,,,,
1:00,,,MARIANO MELLINO,,,,
2:00,,,FRANKY WAH,,,,
